Title,Genre,Tags,withDLC,isMature,Franchise,ReleaseDate,Developer,Publisher,Languages,PositiveReviews,TotalReviews,NegativeReviews,OriginalPrice,DiscountPercent
Phasmophobia,"Action, Indie, Early Access","Horror, Online Co-Op, Multiplayer, Psychological Horror, Co-op, VR, Supernatural, First-Person, Investigation, Dark, Demons, Detective, Mystery, 3D, Early Access, Thriller, Indie, Action, Tactical, Singleplayer",0.0,0.0,,"18 Sep, 2020",Kinetic Games,Kinetic Games,"English, Portuguese - Portugal, Spanish - Spain, Portuguese - Brazil, German, French, Italian, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Romanian, Russian, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Ukrainian, Catalan","(614,864)","(639,974)","(25,110)","160.000,00₫",-20%
Raft,"Adventure, Indie, Simulation","Survival, Multiplayer, Open World Survival Craft, Co-op, Crafting, Open World, Building, Base Building, Online Co-Op, Adventure, Sandbox, First-Person, Singleplayer, Early Access, Underwater, Simulation, Action, Indie, Strategy, Massively Multiplayer",0.0,0.0,,"20 Jun, 2022",Redbeet Interactive,Axolot Games,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Swedish","(276,756)","(295,572)","(18,816)","188.000,00₫",-33%
Team Fortress 2,"Action, Free to Play","Free to Play, Hero Shooter, Multiplayer, FPS, Shooter, Action, Class-Based, Team-Based, Funny, First-Person, Online Co-Op, Competitive, Cartoony, Trading, Co-op, Comedy, Robots, Tactical, Cartoon, Crafting",1.0,1.0,,"10 Oct, 2007",Valve,Valve,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Czech, Hungarian, Portuguese - Brazil, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainian","(956,394)","(1,018,101)","(61,707)",Free,
Marvel’s Spider-Man Remastered,"Action, Adventure, Casual","Superhero, Open World, Action, Singleplayer, Story Rich, Adventure, Combat, Action-Adventure, Third Person, Parkour, Comic Book, Beautiful, Exploration, Stealth, Great Soundtrack, Funny, Atmospheric, Sci-fi, Multiplayer, Controller",0.0,0.0,Marvel's Spider-Man,"12 Aug, 2022",Insomniac Games,PlayStation PC LLC,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Spanish - Latin America, Swedish, Traditional Chinese","(83,015)","(86,263)","(3,248)","1.399.000,00₫",-40%
Hunt: Showdown,Action,"Open World, Extraction Shooter, Atmospheric, Tactical, Multiplayer, FPS, Perma Death, Shooter, PvP, Survival Horror, Western, Horror, Online Co-Op, Difficult, Co-op, Battle Royale, Team-Based, Action, Gore, Zombies",1.0,1.0,Hunt,"27 Aug, 2019",Crytek,Crytek,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Polish, Turkish, Japanese, Portuguese - Brazil","(155,461)","(188,993)","(33,532)","499.000,00₫",-65%
"Warhammer 40,000: Darktide","Action, Adventure, Indie","Warhammer 40K, Gore, Online Co-Op, Adventure, PvE, Multiplayer, FPS, Shooter, Survival Horror, Hack and Slash, First-Person, Character Customization, Co-op, Action, Violent, Atmospheric, Sci-fi, Dark Fantasy, Looter Shooter, Horror",1.0,1.0,Warhammer,"30 Nov, 2022",Fatshark,Fatshark,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Japanese, Korean, Traditional Chinese","(58,612)","(88,642)","(30,030)","665.000,00₫",-35%
World of Warships,"Action, Massively Multiplayer, Simulation, Free to Play","Naval Combat, Free to Play, Naval, World War II, Massively Multiplayer, Action, Multiplayer, Tactical, PvP, Historical, Military, Online Co-Op, Team-Based, Realistic, Shooter, Simulation, PvE, Third-Person Shooter, War, Co-op",1.0,0.0,,"15 Nov, 2017",Wargaming Group Limited,Wargaming Group Limited,"English, French, German, Czech, Japanese, Polish, Russian, Thai, Turkish, Spanish - Spain, Korean, Portuguese - Brazil, Traditional Chinese, Italian, Simplified Chinese, Ukrainian, Dutch, Spanish - Latin America","(103,170)","(133,758)","(30,588)",Free,
MONSTER HUNTER RISE,Action,"Action, RPG, Online Co-Op, Hunting, Multiplayer, Character Customization, Action RPG, Co-op, JRPG, Third Person, Singleplayer, PvE, Fantasy, Anime, 3D, Nature, Dragons, Atmospheric, Ninja, Souls-like",1.0,0.0,Monster Hunter,"12 Jan, 2022","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Spanish - Latin America","(72,779)","(84,010)","(11,231)","881.000,00₫",-60%
BattleBit Remastered,"Action, Massively Multiplayer, Early Access","FPS, Multiplayer, Shooter, Destruction, Military, Massively Multiplayer, PvP, Action, War, Tactical, First-Person, Team-Based, Combat, Class-Based, Gun Customization, Character Customization, 3D, Indie, Early Access, Voxel",1.0,0.0,,"15 Jun, 2023",SgtOkiDoki,SgtOkiDoki,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Dutch, Finnish, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Ukrainian, Vietnamese, Belarusian, Estonian, Macedonian, Serbian, Slovak","(107,179)","(120,061)","(12,882)","253.500,00₫",-40%
Granblue Fantasy Versus: Rising,Action,"Action, 2D Fighter, Multiplayer, eSports, Singleplayer, Action RPG, Anime, Fighting, Fantasy, Free to Play, Great Soundtrack",1.0,0.0,Granblue Fantasy Versus,"13 Dec, 2023","Cygames, Inc.","Cygames, Inc.","English, Japanese, French, German, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Korean","(1,499)","(1,828)",329,"1.213.000,00₫",
Mortal Kombat 1,Action,"Action, Fighting, Gore, Blood, Martial Arts, Multiplayer, Violent, 2D Fighter, PvP, Arcade, Story Rich, 2.5D, Character Customization, Singleplayer, Atmospheric, Competitive, Horror, 3D, Mature, Local Co-Op",1.0,1.0,WB Games,"19 Sep, 2023",NetherRealm Studios,Warner Bros. Games,"English, French, Italian, German, Spanish - Spain, Arabic, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Korean","(14,863)","(20,153)","(5,290)","1.290.000,00₫",-50%
Crusader Kings III,"RPG, Simulation, Strategy","Strategy, Simulation, Medieval, Grand Strategy, RPG, Historical, Management, Character Customization, RTS, Life Sim, Sandbox, Choices Matter, War, Singleplayer, 4X, Economy, Moddable, Political, Multiplayer, Real-Time with Pause",1.0,1.0,Crusader Kings,"1 Sep, 2020",Paradox Development Studio,Paradox Interactive,"English, French, German, Spanish - Spain, Russian, Simplified Chinese, Korean","(92,465)","(100,511)","(8,046)","500.000,00₫",-50%
RimWorld,"Indie, Simulation, Strategy","Colony Sim, Base Building, Survival, Strategy, Sandbox, Management, Building, Simulation, Singleplayer, Moddable, City Builder, Open World, Procedural Generation, 2D, Sci-fi, Indie, Space, Tactical RPG, Western, Cartoony",1.0,0.0,,"17 Oct, 2018",Ludeon Studios,Ludeon Studios,"English, French, German, Polish, Russian, Italian, Spanish - Spain, Czech, Danish, Dutch, Hungarian, Japanese, Norwegian, Portuguese - Portugal, Portuguese - Brazil, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Ukrainian, Finnish, Korean, Romanian, Spanish - Latin America","(172,231)","(175,556)","(3,325)","350.000,00₫",-20%
Call of Duty®: Black Ops III,"Action, Adventure","Multiplayer, FPS, Zombies, Shooter, Action, First-Person, Singleplayer, Co-op, Futuristic, Illuminati, Hero Shooter, Robots, Sci-fi, Gore, Great Soundtrack, Story Rich, Atmospheric, Parkour, Quick-Time Events, Simulation",1.0,0.0,Call of Duty,"5 Nov, 2015",Treyarch,Activision,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Traditional Chinese, Japanese, Polish, Portuguese - Brazil, Russian","(154,751)","(186,489)","(31,738)","1.363.500,00₫",-67%
The Witcher® 3: Wild Hunt,RPG,"Open World, RPG, Story Rich, Atmospheric, Mature, Fantasy, Adventure, Singleplayer, Nudity, Choices Matter, Great Soundtrack, Third Person, Medieval, Action, Multiple Endings, Action RPG, Magic, Dark Fantasy, Dark, Sandbox",1.0,1.0,THE WITCHER®,"18 May, 2015",CD PROJEKT RED,CD PROJEKT RED,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Turkish, Simplified Chinese","(727,383)","(757,210)","(29,827)","660.000,00₫",-75%
Planet Zoo,"Casual, Simulation, Strategy","Management, Simulation, Building, Sandbox, Nature, City Builder, Economy, Realistic, Singleplayer, Family Friendly, Cute, Resource Management, Strategy, Great Soundtrack, Multiplayer, Relaxing, Open World, Casual, Funny, Horses",1.0,0.0,,"5 Nov, 2019",Frontier Developments,Frontier Developments,"English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Italian, Czech, Danish, Dutch, Norwegian, Polish, Russian, Spanish - Latin America, Swedish","(68,176)","(75,087)","(6,911)","721.500,00₫",-75%
Mount & Blade II: Bannerlord,"Action, Indie, RPG, Simulation, Strategy","Medieval, Strategy, Open World, RPG, War, Sandbox, Multiplayer, Singleplayer, Action, Character Customization, Simulation, Moddable, Adventure, Horses, Realistic, Third Person, First-Person, Historical, Great Soundtrack, Early Access",1.0,1.0,Mount & Blade,"25 Oct, 2022",TaleWorlds Entertainment,TaleWorlds Entertainment,"English, Simplified Chinese, Turkish, Traditional Chinese, French, Italian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, German","(206,047)","(234,318)","(28,271)","800.000,00₫",-40%
FINAL FANTASY VII REMAKE INTERGRADE,"Action, Adventure, RPG","RPG, Action RPG, JRPG, Action-Adventure, Singleplayer, Party-Based RPG, Spectacle fighter, Third Person, Controller, Action, Adventure, 3D, Fantasy, 3D Platformer, Magic, Realistic, Cinematic, Drama, Story Rich, Sci-fi",0.0,0.0,FINAL FANTASY,"17 Jun, 2022",Square Enix,Square Enix,"English, French, Italian, German, Spanish - Spain, Spanish - Latin America, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Japanese, Korean","(17,612)","(19,690)","(2,078)","1.799.000,00₫",-50%
Farming Simulator 22,Simulation,"Simulation, Farming Sim, Co-op, Agriculture, Moddable, Multiplayer, Management, Sandbox, 3D, First-Person, Immersive Sim, Online Co-Op, Economy, Open World, Family Friendly, Character Customization, Nature, Third Person, Horses, America",1.0,0.0,Farming Simulator,"21 Nov, 2021",Giants Software,Giants Software,"English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Norwegian, Spanish - Latin America","(55,778)","(61,018)","(5,240)","534.000,00₫",-10%
Medieval Dynasty,"Action, Adventure, Indie, RPG, Simulation","Multiplayer, Co-op, Medieval, Open World, RPG, Atmospheric, Survival, Singleplayer, Realistic, Simulation, Historical, Adventure, First-Person, Base Building, Action, Management, Indie, Sandbox, Horses, Relaxing",1.0,0.0,Dynasty,"23 Sep, 2021",Render Cube,Toplitz Productions,"English, German, Spanish - Spain, Polish, French, Portuguese - Brazil, Japanese, Portuguese - Portugal, Russian, Czech, Turkish, Ukrainian, Italian, Simplified Chinese, Dutch, Swedish, Korean, Hungarian","(32,181)","(35,397)","(3,216)","490.000,00₫",-25%
Valheim,"Action, Adventure, Indie, RPG, Early Access","Open World Survival Craft, Survival, Online Co-Op, Open World, Multiplayer, Building, Crafting, Exploration, Base Building, Co-op, Sandbox, Adventure, Mythology, RPG, Early Access, Action, PvE, Indie, Singleplayer, Third Person",1.0,0.0,Coffee Stain Publishing,"2 Feb, 2021",Iron Gate AB,Coffee Stain Publishing,"English, French, German, Spanish - Spain, Russian, Simplified Chinese, Turkish, Dutch, Japanese, Portuguese - Brazil, Polish, Ukrainian","(409,941)","(432,184)","(22,243)","188.000,00₫",-40%
Madden NFL 24,"Simulation, Sports, Strategy","Sports, Simulation, Football (American), Strategy, PvP, Co-op, Singleplayer, Local Multiplayer, Multiplayer, Local Co-Op",0.0,0.0,EA Sports,"17 Aug, 2023",Tiburon,Electronic Arts,English,"(1,666)","(4,300)","(2,634)","1.090.000,00₫",-60%
Deep Rock Galactic,Action,"Co-op, PvE, FPS, Procedural Generation, Exploration, Shooter, Loot, Class-Based, First-Person, Sci-fi, Space, Action, Looter Shooter, Atmospheric, Combat, Horror, Survival, Dark, Action Roguelike, Open World",1.0,1.0,Coffee Stain Publishing,"13 May, 2020",Ghost Ship Games,Coffee Stain Publishing,"English, French, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Ukrainian, Italian, Japanese, Korean, Turkish, Spanish - Latin America","(258,155)","(265,883)","(7,728)","250.000,00₫",-67%
Starfield,RPG,"Space, Singleplayer, Open World, RPG, Sci-fi, Exploration, First-Person, Story Rich, Action-Adventure, Character Customization, Third Person, Adventure, Action RPG, Atmospheric, Space Sim, Action, Moddable, Cinematic, Realistic, Great Soundtrack",1.0,1.0,Starfield,"5 Sep, 2023",Bethesda Game Studios,Bethesda Softworks,"English, French, Italian, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Simplified Chinese","(84,565)","(134,493)","(49,928)","1.290.000,00₫",-30%
Terraria,"Action, Adventure, Indie, RPG","Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Pixel Graphics, Crafting, Building, Exploration, Co-op, Open World, Online Co-Op, Indie, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric",1.0,0.0,,"16 May, 2011",Re-Logic,Re-Logic,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese","(1,203,081)","(1,231,782)","(28,701)","142.000,00₫",-50%
Grounded,"Action, Adventure","Survival, Multiplayer, Open World Survival Craft, Base Building, Co-op, Crafting, Adventure, Open World, Horror, Online Co-Op, Exploration, Action, Sandbox, First-Person, Singleplayer, RPG, Third Person, Early Access, Cute, Funny",1.0,0.0,,"27 Sep, 2022",Obsidian Entertainment,Xbox Game Studios,"English, French, Italian, German, Spanish - Latin America, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Japanese, Thai, Traditional Chinese, Turkish, Spanish - Spain, Arabic","(60,107)","(67,763)","(7,656)","649.000,00₫",-40%
Risk of Rain 2,"Action, Indie","Third-Person Shooter, Action Roguelike, Multiplayer, Co-op, Action, Roguelite, Looter Shooter, Roguelike, Loot, Online Co-Op, Shooter, Difficult, Third Person, Indie, Survival, Singleplayer, Great Soundtrack, Soundtrack, Early Access, Bullet Hell",1.0,0.0,Risk of Rain,"11 Aug, 2020",Hopoo Games,Gearbox Publishing,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Turkish","(249,214)","(258,841)","(9,627)","220.000,00₫",-50%
Age of Wonders 4,Strategy,"Strategy, 4X, Character Customization, Choices Matter, Strategy RPG, Fantasy, Combat, Moddable, RPG, Lore-Rich, Magic, Turn-Based Strategy, Co-op, Singleplayer, Exploration, Tactical RPG, Multiplayer, Top-Down, Colorful, Hex Grid",1.0,0.0,Age of Wonders,"2 May, 2023",Triumph Studios,Paradox Interactive,"English, French, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese","(10,004)","(12,328)","(2,324)","801.000,00₫",-30%
Squad,"Action, Indie, Massively Multiplayer, Strategy","Military, Realistic, FPS, Multiplayer, Tactical, Team-Based, Shooter, War, First-Person, Action, Massively Multiplayer, Strategy, Modern, Simulation, Base Building, Wargame, Open World, Immersive Sim, Atmospheric, PvP",1.0,0.0,Offworld Industries,"23 Sep, 2020",Offworld Industries,Offworld Industries,"English, Simplified Chinese","(132,207)","(161,599)","(29,392)","390.000,00₫",-50%
Assassin's Creed Valhalla,"Action, Adventure, RPG","Action, Open World, RPG, Adventure, Sexual Content, Singleplayer, Vikings, Action-Adventure, Multiplayer, Third Person, Nudity, Violent, Action RPG, Stealth, Assassin, Gore, Story Rich, Historical, Female Protagonist, Atmospheric",1.0,1.0,Assassin's Creed,"6 Dec, 2022",Ubisoft Montreal,Ubisoft,"English, French, Italian, German, Spanish - Spain, Arabic, Simplified Chinese, Traditional Chinese, Korean, Spanish - Latin America, Japanese, Polish, Portuguese - Brazil, Russian","(12,414)","(17,798)","(5,384)","990.000,00₫",-75%
F1® 23,"Racing, Sports","VR, Racing, Driving, Multiplayer, Automobile Sim, Sports, Singleplayer, Competitive, Simulation, eSports, Relaxing, Action-Adventure, 3D, Immersive Sim, Cinematic, Arcade, 3D Platformer, First-Person, PvP, PvE",1.0,0.0,,"15 Jun, 2023",Codemasters,Electronic Arts,"English, French, Italian, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Dutch, Arabic","(10,788)","(12,458)","(1,670)","1.090.000,00₫",-70%
Forza Horizon 4,Racing,"Racing, Open World, Driving, Multiplayer, Automobile Sim, Online Co-Op, Realistic, Singleplayer, Controller, Adventure, Arcade, PvP, Simulation, Exploration, Action, Sports, Atmospheric, Great Soundtrack, First-Person, Funny",1.0,0.0,Forza,"9 Mar, 2021",Playground Games,Xbox Game Studios,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish","(182,874)","(204,476)","(21,602)","480.000,00₫",-67%
